"Model","all","confidence_weighting","most_spiked_location","most_spiked_patch","top_percent"
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_1.0_0.25_30000_1_True_0.75",73.05,73.42,71.54,72.62,72.11
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_0.5_0.25_30000_1_True_0.75",72.96,72.95,70.75,72.35,71.11
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_0.5_0.25_30000_2_True_0.75",72.95,73.67,69.23,71.87,71.62
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_0.75_0.075_30000_2_True_0.75",72.83,73.49,71.9,72.81,72.25
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_0.75_0.075_30000_1_True_0.75",72.76,73.32,72.29,73.36,72.31
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_1.0_0.2_30000_2_True_0.75",72.76,73.11,70.91,72.33,71.81
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_0.5_0.5_30000_1_True_0.75",72.76,72.97,69,71.64,71.77
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_1.0_0.25_30000_3_True_0.75",72.71,73.28,72.14,73.48,72.27
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_0.5_0.125_30000_1_True_0.75",72.66,72.89,70.79,72.89,72.6
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_0.5_0.1_30000_3_True_0.75",72.65,72.62,71.66,72,71.63
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_1.0_0.05_30000_1_True_0.75",72.38,71.13,70.75,72.69,70.67
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_2.0_0.1_30000_2_True_0.75",72.36,72.9,70.01,71.77,70.73
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_1.0_0.5_30000_3_True_0.75",72.23,72.15,69.28,70.82,69.95
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_0.75_0.075_30000_3_True_0.75",72.16,72.03,71.67,72.06,71.77
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_0.5_0.15_30000_3_True_0.75",72.14,72.76,70.15,72.59,72.41
